playlist,name,sourceUrl,author,album,mood,size,preload,defaultHash,privilegeName,url1,url2,url
Energy,Sport Game,https://staticssl.gotokeep.com/audio/2018/01/02/12/582d48204d400000.mp3,AlexanderRufire,,Energy,2481177,normal,6e32fab064530a8e3ce7793063ef6442,fastWalkingKG3,https://staticssl.gotokeep,/audio/2018/01/02/12/582d48204d400000.mp3,https://static1.keepcdns.com/audio/2018/01/02/12/582d48204d400000.mp3
Energy,Upbeat & Energetic Fun Folk Rock,https://staticssl.gotokeep.com/audio/2018/01/02/14/582d5da50f000000.mp3,AlexanderRufire,,Energy,1662145,normal,b72b5b2afbff70e7f66646708ceb36db,,https://staticssl.gotokeep,/audio/2018/01/02/14/582d5da50f000000.mp3,https://static1.keepcdns.com/audio/2018/01/02/14/582d5da50f000000.mp3
Energy,Bright Electro Pop Rock,https://staticssl.gotokeep.com/audio/2018/01/02/20/582db9650a400000.mp3,benjijackson,,Energy,3238568,normal,1d11fecfbd5c909595be32b002abfcaa,,https://staticssl.gotokeep,/audio/2018/01/02/20/582db9650a400000.mp3,https://static1.keepcdns.com/audio/2018/01/02/20/582db9650a400000.mp3
Energy,Happy Pop Rock,https://staticssl.gotokeep.com/audio/2018/01/02/20/582db906dd800000.mp3,MagpieMusic,,Energy,2017365,normal,d72afa45fb10f3bc4e08a53f5017e010,hit180KG5,https://staticssl.gotokeep,/audio/2018/01/02/20/582db906dd800000.mp3,https://static1.keepcdns.com/audio/2018/01/02/20/582db906dd800000.mp3
Energy,Happy Rock,https://staticssl.gotokeep.com/audio/2018/01/02/20/582db8e3e1000000.mp3,EvanSplash,,Energy,1613778,normal,7c92bf6f1808e825902b4863d255c7b9,hit180KG5,https://staticssl.gotokeep,/audio/2018/01/02/20/582db8e3e1000000.mp3,https://static1.keepcdns.com/audio/2018/01/02/20/582db8e3e1000000.mp3
Energy,Energetic Indie Rock,https://staticssl.gotokeep.com/audio/2017/10/19/17/57ccfa57a2400000.mp3,Zyyura,,Energy,3089135,normal,4b42825a7004272f8d12d17088eb3028,,https://staticssl.gotokeep,/audio/2017/10/19/17/57ccfa57a2400000.mp3,https://static1.keepcdns.com/audio/2017/10/19/17/57ccfa57a2400000.mp3
Epic,Epic Motivation HipHop,http://gotokeep.qiniudn.com/bgm/EpicMotivationHipHop.mp3,Suma Style,,Energy,5730220,normal,00d1134f178e9ca8acf492d4e78b9efa,,http://gotokeep.qiniudn,/bgm/EpicMotivationHipHop.mp3,https://static1.keepcdns.com/bgm/EpicMotivationHipHop.mp3
Epic,Street Warrior,http://gotokeep.qiniudn.com/bgm/StreetWarrior.mp3,SoundSphere,,Energy,2427298,normal,673475804fd50aa08712422a731266d5,,http://gotokeep.qiniudn,/bgm/StreetWarrior.mp3,https://static1.keepcdns.com/bgm/StreetWarrior.mp3
Epic,Inspiring Uplifting Motivational Pop Kit,https://staticssl.gotokeep.com/audio/2017/08/21/12/5780c672e7800000.mp3,mm3m,Inspiring Uplifting Motivational Pop Kit,Energy,5698872,normal,e93f1eb653af0b81ed9c81d82e7be6ad,,https://staticssl.gotokeep,/audio/2017/08/21/12/5780c672e7800000.mp3,https://static1.keepcdns.com/audio/2017/08/21/12/5780c672e7800000.mp3
Light,Cali Dreamy（Original Mix）,https://staticssl.gotokeep.com/audio/2017/07/20/19/5757ee96fac00000.mp3,M3SSIAH,,Energy,7974578,normal,727428bffede34dc9c7152757ee3515d,,https://staticssl.gotokeep,/audio/2017/07/20/19/5757ee96fac00000.mp3,https://static1.keepcdns.com/audio/2017/07/20/19/5757ee96fac00000.mp3
Light,Fun,https://staticssl.gotokeep.com/audio/2017/08/21/07/578080ef5e400000.mp3,MGAnalog,Fun,Energy,5294887,normal,24dfe0a2b6c4f8d238536347ad76b88f,,https://staticssl.gotokeep,/audio/2017/08/21/07/578080ef5e400000.mp3,https://static1.keepcdns.com/audio/2017/08/21/07/578080ef5e400000.mp3
Light,Inspiring Pop,https://staticssl.gotokeep.com/audio/2017/08/21/07/57808198f1c00000.mp3,ethanrank audio,Inspiring Pop,Energy,6249716,normal,d6118bd9984f6f16eb670e6032627286,,https://staticssl.gotokeep,/audio/2017/08/21/07/57808198f1c00000.mp3,https://static1.keepcdns.com/audio/2017/08/21/07/57808198f1c00000.mp3
Light,Think Positive,https://staticssl.gotokeep.com/audio/2017/08/21/07/5780821287000000.mp3,Coffee Mug,Think Positive,Energy,3697033,normal,725c15393dbe8674f9774266cbb7b0fc,,https://staticssl.gotokeep,/audio/2017/08/21/07/5780821287000000.mp3,https://static1.keepcdns.com/audio/2017/08/21/07/5780821287000000.mp3
Light,Feel Good Indie Acoustic Instrumental,https://staticssl.gotokeep.com/audio/2017/08/21/12/5780c88b05800000.mp3,Sun Channel Music,Feel Good Indie Acoustic Instrumental,Energy,5386736,normal,37e395a59333f6590d3d5faf9c74e23e,,https://staticssl.gotokeep,/audio/2017/08/21/12/5780c88b05800000.mp3,https://static1.keepcdns.com/audio/2017/08/21/12/5780c88b05800000.mp3
Light,Corporate Uplifting Rock,https://staticssl.gotokeep.com/audio/2017/08/21/13/5780d21ea2800000.mp3,Tim Cat,Corporate Uplifting Rock,Energy,5271740,normal,7e3c7ed1e7c498442c29e935b7fe2da3,,https://staticssl.gotokeep,/audio/2017/08/21/13/5780d21ea2800000.mp3,https://static1.keepcdns.com/audio/2017/08/21/13/5780d21ea2800000.mp3
Light,Fun Guitar,https://staticssl.gotokeep.com/audio/2017/10/18/20/57cbdfa87e400000.mp3,musicstockforvideo,,Energy,4295999,normal,793b88d3052da51cc4435bb34f2ab7d3,fastRunningKG3,https://staticssl.gotokeep,/audio/2017/10/18/20/57cbdfa87e400000.mp3,https://static1.keepcdns.com/audio/2017/10/18/20/57cbdfa87e400000.mp3
Light,Message Future Bass,https://staticssl.gotokeep.com/audio/2017/10/18/21/57cbeb6667000000.mp3,ParallelRhymes,,Energy,4140720,normal,3b7bf5b46642dda6e426253638e91850,rhythmtrackKG4,https://staticssl.gotokeep,/audio/2017/10/18/21/57cbeb6667000000.mp3,https://static1.keepcdns.com/audio/2017/10/18/21/57cbeb6667000000.mp3
Light,Happy Ukulele,https://staticssl.gotokeep.com/audio/2017/10/19/16/57ccf65f3bc00000.mp3,Bizrecords,,Energy,3116720,normal,0a0580b9ae38e7a1020579c493aecbf6,,https://staticssl.gotokeep,/audio/2017/10/19/16/57ccf65f3bc00000.mp3,https://static1.keepcdns.com/audio/2017/10/19/16/57ccf65f3bc00000.mp3
Light,Sunny Sky,https://staticssl.gotokeep.com/audio/2017/10/19/16/57ccf6b20c000000.mp3,softpiano,,Energy,3188191,normal,47c8fef6c907171261feb4c8776f580a,,https://staticssl.gotokeep,/audio/2017/10/19/16/57ccf6b20c000000.mp3,https://static1.keepcdns.com/audio/2017/10/19/16/57ccf6b20c000000.mp3
Light,Louisville,https://staticssl.gotokeep.com/audio/2017/10/19/17/57ccfc1f1e400000.mp3,Alanay,,Energy,2913592,normal,cec8dbc7d26a63f71ae8705f55593f2e,speedspaceKG6,https://staticssl.gotokeep,/audio/2017/10/19/17/57ccfc1f1e400000.mp3,https://static1.keepcdns.com/audio/2017/10/19/17/57ccfc1f1e400000.mp3
Light,Ukulele Feel Good,https://staticssl.gotokeep.com/audio/2017/10/27/13/57d71a557bc00000.mp3,GoodCatStudios,,Energy,2318335,normal,34f76c2ad3db2cce9decf611c2f4ae5e,speedspaceKG6,https://staticssl.gotokeep,/audio/2017/10/27/13/57d71a557bc00000.mp3,https://static1.keepcdns.com/audio/2017/10/27/13/57d71a557bc00000.mp3
Light,Life is a Beautiful Adventure,https://staticssl.gotokeep.com/audio/2017/08/21/12/5780c8c78f400000.mp3,egotype,Life is a Beautiful Adventure,Energy,9005974,normal,2f24713ced8d47edd10fa059b0b25702,,https://staticssl.gotokeep,/audio/2017/08/21/12/5780c8c78f400000.mp3,https://static1.keepcdns.com/audio/2017/08/21/12/5780c8c78f400000.mp3
Passion,Emo Rock,https://staticssl.gotokeep.com/audio/2017/10/19/17/57ccfb6d94c00000.mp3,MagpieMusic,,Energy,3172727,normal,3f2d0eba4445b25505e213d76d97ca5f,,https://staticssl.gotokeep,/audio/2017/10/19/17/57ccfb6d94c00000.mp3,https://static1.keepcdns.com/audio/2017/10/19/17/57ccfb6d94c00000.mp3
Passion,Autumn Indie Rock Style Adventure,https://staticssl.gotokeep.com/audio/2018/01/02/19/582daf4874400000.mp3,GuitarMusicLab,,Energy,1954568,normal,eac82e213d9f23b43357752aed5058f6,speedspaceKG6,https://staticssl.gotokeep,/audio/2018/01/02/19/582daf4874400000.mp3,https://static1.keepcdns.com/audio/2018/01/02/19/582daf4874400000.mp3
Passion,Amped,https://staticssl.gotokeep.com/audio/2017/08/21/07/5780836168000000.mp3,BlueFoxMusic,Amped,Energy,5602973,normal,e61cedf1400c037611359bac3b62da27,,https://staticssl.gotokeep,/audio/2017/08/21/07/5780836168000000.mp3,https://static1.keepcdns.com/audio/2017/08/21/07/5780836168000000.mp3
Passion,Punk Rock Energy,https://staticssl.gotokeep.com/audio/2017/10/18/20/57cbdf84e9000000.mp3,Greenvillemusic,,Energy,3231422,normal,aafe0183be61438ec3ea478ba4ae6919,fastRunningKG3,https://staticssl.gotokeep,/audio/2017/10/18/20/57cbdf84e9000000.mp3,https://static1.keepcdns.com/audio/2017/10/18/20/57cbdf84e9000000.mp3
Passion,The Night Pop Instrumental,https://staticssl.gotokeep.com/audio/2018/01/02/12/582d48d0fbc00000.mp3,reallife4,,Energy,2337444,normal,df9088d63e64e8998c9f7e214e6ea9ac,slowRunningKG3,https://staticssl.gotokeep,/audio/2018/01/02/12/582d48d0fbc00000.mp3,https://static1.keepcdns.com/audio/2018/01/02/12/582d48d0fbc00000.mp3
Passion,Sport Fun,https://staticssl.gotokeep.com/audio/2018/01/02/13/582d5d114d000000.mp3,AlexanderRufire,,Energy,2378764,normal,3fd08456b76089f088d8507c87d74df9,,https://staticssl.gotokeep,/audio/2018/01/02/13/582d5d114d000000.mp3,https://static1.keepcdns.com/audio/2018/01/02/13/582d5d114d000000.mp3
Passion,Commercial Stadium Rock,https://staticssl.gotokeep.com/audio/2017/10/12/23/57c4492309800000.mp3,Vlad Annenkov,,Energy,6868181,normal,0f612f4ef31a47310cdb4075842ff101,EnergyKG4,https://staticssl.gotokeep,/audio/2017/10/12/23/57c4492309800000.mp3,https://static1.keepcdns.com/audio/2017/10/12/23/57c4492309800000.mp3
Passion,Powerful Sport Trailer,https://staticssl.gotokeep.com/audio/2017/10/12/23/57c449e15a800000.mp3,Maikon Music,,Energy,5738646,normal,bb914d0c17b43c4e39558302f34fe1fb,EnergyKG6,https://staticssl.gotokeep,/audio/2017/10/12/23/57c449e15a800000.mp3,https://static1.keepcdns.com/audio/2017/10/12/23/57c449e15a800000.mp3
Passion,This Is Rock,https://staticssl.gotokeep.com/audio/2018/01/02/14/582d5e9e35800000.mp3,Alec_Koff,,Energy,1750502,normal,2e009aa4cdc40fd1bebbacee0622a7a9,rhythmtrackKG4,https://staticssl.gotokeep,/audio/2018/01/02/14/582d5e9e35800000.mp3,https://static1.keepcdns.com/audio/2018/01/02/14/582d5e9e35800000.mp3
Passion,Extreme Hard Rock Music,https://staticssl.gotokeep.com/audio/2018/01/02/14/582d5f180fc00000.mp3,EITAN-EPSTEIN-MUSIC,,Energy,1621004,normal,09064e6f4a213c8eae336f2f0520589a,,https://staticssl.gotokeep,/audio/2018/01/02/14/582d5f180fc00000.mp3,https://static1.keepcdns.com/audio/2018/01/02/14/582d5f180fc00000.mp3
Power,Box TV,https://staticssl.gotokeep.com/audio/2017/10/12/23/57c4465e7d400000.mp3,Muza Production,,Energy,4663446,normal,608ff4c2401ea6c4c74b87804fc54d97,EnergyKG8,https://staticssl.gotokeep,/audio/2017/10/12/23/57c4465e7d400000.mp3,https://static1.keepcdns.com/audio/2017/10/12/23/57c4465e7d400000.mp3
Power,Hard Blues Rock,https://staticssl.gotokeep.com/audio/2017/10/12/23/57c446d718c00000.mp3,Co Gun Audio,,Energy,5464883,normal,66a30f7f6b77e82f1dc8e693066f94e7,EnergyKG2,https://staticssl.gotokeep,/audio/2017/10/12/23/57c446d718c00000.mp3,https://static1.keepcdns.com/audio/2017/10/12/23/57c446d718c00000.mp3
Power,Trailer Metal Action,https://staticssl.gotokeep.com/audio/2017/10/12/23/57c447b302c00000.mp3,Noobtorio,,Energy,4573585,normal,049c74769ec9a4bd3c296ed4aa346013,EnergyKG2,https://staticssl.gotokeep,/audio/2017/10/12/23/57c447b302c00000.mp3,https://static1.keepcdns.com/audio/2017/10/12/23/57c447b302c00000.mp3
Power,Power Rage,https://staticssl.gotokeep.com/audio/2017/10/12/23/57c4488096400000.mp3,Akoahi,,Energy,4156671,normal,3250471f900586741a0e164a5347881e,EnergyKG4,https://staticssl.gotokeep,/audio/2017/10/12/23/57c4488096400000.mp3,https://static1.keepcdns.com/audio/2017/10/12/23/57c4488096400000.mp3
Power,A March to War,https://staticssl.gotokeep.com/audio/2017/10/12/23/57c44a444b400000.mp3,Everyday Music,,Energy,5476377,normal,0b20e09df8d15cbd064b0a4f8bfb36f9,EnergyKG6,https://staticssl.gotokeep,/audio/2017/10/12/23/57c44a444b400000.mp3,https://static1.keepcdns.com/audio/2017/10/12/23/57c44a444b400000.mp3
Power,Big Powerful Machinery,https://staticssl.gotokeep.com/audio/2017/10/12/23/57c44b13edc00000.mp3,Aleckxstar,,Energy,5283071,normal,aeb7ca291e88715ec14aa090a5af34ba,EnergyKG8,https://staticssl.gotokeep,/audio/2017/10/12/23/57c44b13edc00000.mp3,https://static1.keepcdns.com/audio/2017/10/12/23/57c44b13edc00000.mp3
Power,Extreme Alternative Rock,https://staticssl.gotokeep.com/audio/2017/10/12/23/57c44f5157000000.mp3,Boris Staralsa,,Energy,6174369,normal,72c35afcd736a731ad84ee57e15e43fa,EnergyKG1,https://staticssl.gotokeep,/audio/2017/10/12/23/57c44f5157000000.mp3,https://static1.keepcdns.com/audio/2017/10/12/23/57c44f5157000000.mp3
Power,This is the Metal,https://staticssl.gotokeep.com/audio/2017/10/13/15/57c52c34fa800000.mp3,Wheatman,,Energy,5770188,normal,41499a0a8a8aff0668304f8902153e7d,EnergyKG10,https://staticssl.gotokeep,/audio/2017/10/13/15/57c52c34fa800000.mp3,https://static1.keepcdns.com/audio/2017/10/13/15/57c52c34fa800000.mp3
Power,Razor Blade Salvation,https://staticssl.gotokeep.com/audio/2017/10/18/20/57cbe1998d800000.mp3,dangerousmusic80701,,Energy,2989474,normal,0eb1449e75c78aeb7e248ac6d7b9000a,slowRunningKG3,https://staticssl.gotokeep,/audio/2017/10/18/20/57cbe1998d800000.mp3,https://static1.keepcdns.com/audio/2017/10/18/20/57cbe1998d800000.mp3
Power,Powerful Rock,https://staticssl.gotokeep.com/audio/2017/10/18/21/57cbea0153000000.mp3,Skyrunners,,Energy,4405463,normal,612a302bf91025cc11e7cc63d6b09315,,https://staticssl.gotokeep,/audio/2017/10/18/21/57cbea0153000000.mp3,https://static1.keepcdns.com/audio/2017/10/18/21/57cbea0153000000.mp3
Power,Commercial Indie Rock,https://staticssl.gotokeep.com/audio/2018/01/02/14/582d5ee5d0000000.mp3,Amoebacrew,,Energy,3238088,normal,e6035354ba9e427d5a16bffe1eebe88d,,https://staticssl.gotokeep,/audio/2018/01/02/14/582d5ee5d0000000.mp3,https://static1.keepcdns.com/audio/2018/01/02/14/582d5ee5d0000000.mp3
Power,Rock the Party,https://staticssl.gotokeep.com/audio/2017/10/19/17/57ccf78fa1000000.mp3,denimix,,Energy,2234631,normal,9844dbe7b97f762479cf50ab8a8cb893,,https://staticssl.gotokeep,/audio/2017/10/19/17/57ccf78fa1000000.mp3,https://static1.keepcdns.com/audio/2017/10/19/17/57ccf78fa1000000.mp3
Power,Rocking Free,https://staticssl.gotokeep.com/audio/2018/01/02/19/582dae63b9800000.mp3,BenjaminVater,,Energy,2180283,normal,0df8f0448d65bfdb67206fec994f177f,,https://staticssl.gotokeep,/audio/2018/01/02/19/582dae63b9800000.mp3,https://static1.keepcdns.com/audio/2018/01/02/19/582dae63b9800000.mp3
Power,Upbeat Drum,https://staticssl.gotokeep.com/audio/2017/10/19/17/57ccfbcfee800000.mp3,StudioGarry,,Energy,3207835,normal,1470ed0a5ca7cb053ef3ab973660a021,speedspaceKG6,https://staticssl.gotokeep,/audio/2017/10/19/17/57ccfbcfee800000.mp3,https://static1.keepcdns.com/audio/2017/10/19/17/57ccfbcfee800000.mp3
Summer,Happy Upbeat,https://staticssl.gotokeep.com/audio/2018/01/02/12/582d4e7d5b000000.mp3,Michael Cat Audio,Happy Upbeat,Energy,1983964,normal,e947baf46b35d029ddda938a43d6f8bf,,https://staticssl.gotokeep,/audio/2018/01/02/12/582d4e7d5b000000.mp3,https://static1.keepcdns.com/audio/2018/01/02/12/582d4e7d5b000000.mp3
Summer,That Summer Feeling,https://staticssl.gotokeep.com/audio/2017/08/21/07/57807da4c4c00000.mp3,Blue Fox Music,That Summer Feeling,Energy,7008386,normal,d4658bd99be8c7724f0d56fa453cffb4,,https://staticssl.gotokeep,/audio/2017/08/21/07/57807da4c4c00000.mp3,https://static1.keepcdns.com/audio/2017/08/21/07/57807da4c4c00000.mp3
Summer,Young And Happy,https://staticssl.gotokeep.com/audio/2018/01/02/12/582d4d2296400000.mp3,soundroll,Young And Happy,Energy,1893514,normal,245b9ed7239275b5337049cea282c5a6,,https://staticssl.gotokeep,/audio/2018/01/02/12/582d4d2296400000.mp3,https://static1.keepcdns.com/audio/2018/01/02/12/582d4d2296400000.mp3
Summer,Summer Youthful Uplifting Pop,https://staticssl.gotokeep.com/audio/2018/01/02/12/582d47b54c000000.mp3,sound bound,Summer Youthful Uplifting Pop Kit,Energy,2469719,normal,88d9b730f36ec6e9245dfeacaf53e744,,https://staticssl.gotokeep,/audio/2018/01/02/12/582d47b54c000000.mp3,https://static1.keepcdns.com/audio/2018/01/02/12/582d47b54c000000.mp3
Summer,Uplifting Summer Dance Pop,https://staticssl.gotokeep.com/audio/2017/08/21/13/5780d1b1cf000000.mp3,sound bound,Uplifting Summer Dance Pop,Energy,5718853,normal,e274b67389c3b9874fa3f2dba914747b,,https://staticssl.gotokeep,/audio/2017/08/21/13/5780d1b1cf000000.mp3,https://static1.keepcdns.com/audio/2017/08/21/13/5780d1b1cf000000.mp3
Summer,Happy & Positive Uplifting Summer Pop,https://staticssl.gotokeep.com/audio/2017/10/18/20/57cbde5623c00000.mp3,Alex_MakeMusic,,Energy,2942618,normal,f4136eb697343604e281690549591b80,fastWalkingKG3,https://staticssl.gotokeep,/audio/2017/10/18/20/57cbde5623c00000.mp3,https://static1.keepcdns.com/audio/2017/10/18/20/57cbde5623c00000.mp3
